0,0.001,0,0,0,0.5,0
0,0,0,0,0,?,1
0,0,0,0,0,?,10
0,0,0,0,0,0.5,100
0,0.002,0,0,0,0.496,101
0,0,0,0,0,?,102
0,0,0,0,0,0.5,103
0,0.001,0,0,0,?,104
0,0,0,0,0,0.5,105
0,0,0,0,0,?,106
0,0,0,0,0,0.5,107
0,0,0,0,0,?,108
0.071,0.008,0.023,0.071,0.035,0.722,109
0.75,0,1,0.75,0.857,1,11
0.533,0.009,0.14,0.533,0.222,0.902,110
0,0.001,0,0,0,0.5,111
0.625,0.006,0.143,0.625,0.233,0.868,112
0,0,0,0,0,?,113
0.514,0.014,0.825,0.514,0.634,0.968,114
0,0,0,0,0,?,115
0,0,0,0,0,?,116
0,0,0,0,0,0.5,117
0.167,0.001,0.143,0.167,0.154,0.659,118
0,0,0,0,0,0.5,119
0.646,0.009,0.727,0.646,0.684,0.957,12
0,0,0,0,0,?,120
0.789,0.044,0.117,0.789,0.204,0.931,121
0,0.003,0,0,0,0.493,122
0,0.001,0,0,0,0.499,123
0,0,0,0,0,0.5,124
0.6,0.016,0.184,0.6,0.281,0.92,125
0.136,0.001,0.5,0.136,0.214,0.885,126
0,0,0,0,0,?,127
0,0,0,0,0,0.5,128
0,0,0,0,0,?,129
0,0,0,0,0,?,13
0,0,0,0,0,?,130
0.5,0.002,0.286,0.5,0.364,0.935,131
0,0,0,0,0,0.5,14
0.533,0.004,0.258,0.533,0.348,0.989,15
0.135,0.005,0.675,0.135,0.225,0.944,16
0,0,0,0,0,?,17
0,0,0,0,0,0.5,18
0.738,0.014,0.298,0.738,0.425,0.89,19
0.333,0,1,0.333,0.5,0.667,2
0.622,0.003,0.926,0.622,0.744,0.965,20
0,0,0,0,0,0.5,21
0.216,0.01,0.183,0.216,0.198,0.9,22
0,0,0,0,0,?,23
0.806,0.068,0.135,0.806,0.231,0.917,24
0.5,0.001,0.375,0.5,0.429,0.749,25
0.925,0.001,0.99,0.925,0.957,0.976,26
0,0,0,0,0,0.5,27
0.524,0.044,0.089,0.524,0.152,0.925,28
0.8,0.002,0.6,0.8,0.686,0.999,29
0,0,0,0,0,?,3
0,0,0,0,0,?,30
0,0,0,0,0,?,31
0.375,0,0.6,0.375,0.462,0.686,32
0.308,0.003,0.8,0.308,0.444,0.979,33
0.5,0.006,0.238,0.5,0.323,0.943,34
0,0,0,0,0,?,35
0,0,0,0,0,?,36
0,0,0,0,0,0.5,37
0,0,0,0,0,0.5,38
0,0,0,0,0,?,39
0.778,0.001,0.636,0.778,0.7,0.888,4
0,0,0,0,0,?,40
0,0.002,0,0,0,?,41
0,0,0,0,0,?,42
0,0,0,0,0,0.5,43
0,0,0,0,0,0.5,44
0,0,0,0,0,0.5,45
0.9,0.003,0.975,0.9,0.936,0.965,46
0.683,0.016,0.868,0.683,0.765,0.966,47
0,0,0,0,0,0.5,48
0.167,0.002,0.077,0.167,0.105,0.578,49
0.5,0,1,0.5,0.667,0.75,5
0,0,0,0,0,?,50
0.75,0.001,0.714,0.75,0.732,0.899,51
0.286,0.005,0.077,0.286,0.121,0.769,52
0.469,0.005,0.349,0.469,0.4,0.941,53
0,0,0,0,0,?,54
0,0,0,0,0,?,55
0,0,0,0,0,?,56
0.4,0,1,0.4,0.571,0.799,57
0,0,0,0,0,?,58
0,0.001,0,0,0,?,59
0,0,0,0,0,?,6
0,0,0,0,0,0.5,60
0.28,0.004,0.241,0.28,0.259,0.853,61
0.364,0.008,0.091,0.364,0.145,0.891,62
0.269,0.007,0.812,0.269,0.404,0.942,63
0,0,0,0,0,0.5,64
0,0,0,0,0,0.5,65
0.529,0.004,0.281,0.529,0.367,0.875,66
0.25,0.007,0.15,0.25,0.187,0.987,67
0,0,0,0,0,?,68
0,0,0,0,0,?,69
0.8,0.001,0.444,0.8,0.571,0.899,7
0,0,0,0,0,0.5,70
0.5,0,1,0.5,0.667,1,71
0,0,0,0,0,0.5,72
0,0,0,0,0,0.5,73
0,0,0,0,0,?,74
0,0,0,0,0,?,75
0.617,0.005,0.699,0.617,0.655,0.967,76
0,0,0,0,0,?,77
0,0,0,0,0,0.5,78
0.167,0.002,0.083,0.167,0.111,0.744,79
0,0,0,0,0,?,8
0.773,0.008,0.304,0.773,0.436,0.971,80
0.4,0.006,0.063,0.4,0.108,0.896,81
0,0,0,0,0,0.5,82
0,0,0,0,0,0.499,83
0,0,0,0,0,?,84
0,0,0,0,0,?,85
0,0,0,0,0,?,86
0,0,0,0,0,?,87
0,0,0,0,0,0.5,88
0,0,0,0,0,?,89
0.857,0.042,0.052,0.857,0.098,0.941,9
0.5,0,1,0.5,0.667,0.75,90
0.783,0.004,0.948,0.783,0.858,0.95,91
0.757,0.003,0.837,0.757,0.795,0.935,92
0,0,0,0,0,0.499,93
1,0.003,0.485,1,0.653,0.999,94
0.208,0.004,0.357,0.208,0.263,0.948,95
0,0,0,0,0,0.5,96
0,0,0,0,0,0.5,97
0,0,0,0,0,?,98
0,0,0,0,0,0.5,99
